"","STORE","WEEK","OUNCES","deal_X","deal_Y","oz_X","oz_Y","pX","pY"
"1",1,1,72,1,0,13032,2088,0.025,0.028
"2",1,2,72,0,0,3384,3960,0.028,0.03
"3",1,3,72,0,0,2088,19296,0.03,0.028
"4",1,4,72,1,0,35064,576,0.021,0.03
"5",1,5,72,1,0,26640,3312,0.022,0.028
"6",1,6,72,0,0,2304,1800,0.03,0.03
"7",1,7,72,0,1,1800,14904,0.03,0.023
"8",1,8,72,0,0,2592,8496,0.03,0.028
"9",1,9,72,0,0,2520,2664,0.03,0.03
"10",1,10,72,0,1,1728,13104,0.03,0.023
"11",1,11,72,0,0,2376,7200,0.03,0.03
"12",1,12,72,0,1,5832,20520,0.03,0.023
"13",1,13,72,0,0,2448,2016,0.03,0.03
"14",1,14,72,0,0,2592,1080,0.03,0.03
"15",1,15,72,0,0,2376,8784,0.03,0.028
"16",1,16,72,0,0,2808,1224,0.028,0.03
"17",1,17,72,0,0,6264,5184,0.03,0.028
"18",1,18,72,0,1,4824,16416,0.03,0.023
"19",1,19,72,0,0,2520,3816,0.028,0.03
"20",1,20,72,1,0,24264,7416,0.022,0.03
"21",1,21,72,0,0,2520,1800,0.03,0.03
"22",1,22,72,1,1,22896,30168,0.022,0.023
"23",1,23,72,1,0,31824,6480,0.022,0.03
"24",1,24,72,0,1,2376,33552,0.028,0.021
"25",1,25,72,1,1,20808,30888,0.022,0.023
"26",1,26,72,0,0,2304,1512,0.03,0.03
"27",1,27,72,0,0,3240,576,0.03,0.03
"28",1,28,72,0,0,2592,15984,0.028,0.03
"29",1,29,72,0,0,2448,1296,0.03,0.03
"30",1,30,72,0,0,3384,2592,0.028,0.03
"31",1,31,72,0,0,2160,2448,0.03,0.028
"32",1,32,72,1,0,25776,11232,0.023,0.03
"33",1,33,72,1,0,14616,288,0.025,0.03
"34",1,34,72,0,0,2232,50904,0.03,0.028
"35",1,35,72,0,0,2160,10584,0.03,0.028
"36",1,36,72,0,0,2016,7344,0.03,0.028
"37",1,37,72,0,0,3024,8280,0.028,0.03
"38",1,38,72,0,0,2232,2808,0.03,0.03
"39",1,39,72,0,0,3456,3744,0.028,0.03
"40",1,40,72,0,0,2520,1800,0.03,0.03
"41",1,41,72,0,0,2304,936,0.03,0.028
"42",1,42,72,0,0,2448,8136,0.03,0.03
"43",1,43,72,0,0,3600,1656,0.028,0.03
"44",1,44,72,1,0,29160,2088,0.022,0.028
"45",1,45,72,0,0,2016,864,0.03,0.028
"46",1,46,72,1,0,32976,7488,0.021,0.028
"47",1,47,72,0,0,2016,4896,0.03,0.03
"48",1,48,72,0,0,2952,4824,0.028,0.03
"49",1,49,72,0,0,2160,3528,0.03,0.03
"50",1,50,72,1,0,26280,936,0.023,0.028
"51",1,51,72,0,1,3168,12096,0.028,0.023
"52",1,52,72,0,0,2448,3312,0.028,0.03
"53",1,1,72,0,0,2160,2304,0.03,0.028
"54",1,2,72,0,0,2016,6264,0.03,0.028
"55",1,3,72,0,0,2232,2160,0.028,0.03
"56",1,4,72,0,0,2160,6192,0.03,0.03
"57",1,5,72,0,0,3024,792,0.028,0.03
"58",1,6,72,0,1,1584,94968,0.03,0.021
"59",1,7,72,0,0,3096,4680,0.028,0.03
"60",1,8,72,0,0,2016,7920,0.03,0.03
"61",1,9,72,0,0,2232,936,0.028,0.028
"62",1,10,72,0,0,2088,3456,0.03,0.03
"63",1,11,72,0,0,3816,216,0.028,0.039
"64",1,12,72,0,1,2376,16560,0.03,0.023
"65",1,13,72,0,0,3744,1152,0.028,0.039
"66",1,14,72,0,0,3888,5976,0.028,0.03
"67",1,15,72,0,1,2160,20304,0.03,0.021
"68",1,16,72,1,0,29592,792,0.022,0.03
"69",1,17,72,0,0,2376,6408,0.03,0.03
"70",1,18,72,0,0,2304,2736,0.03,0.03
"71",1,19,72,0,0,3024,1080,0.028,0.03
"72",1,20,72,0,0,3312,3888,0.028,0.03
"73",1,21,72,0,0,2304,4752,0.03,0.028
"74",1,22,72,0,0,2304,4752,0.03,0.03
"75",1,23,72,0,1,2304,33840,0.03,0.021
"76",1,24,72,0,0,2448,936,0.03,0.03
"77",1,25,72,0,0,3600,3960,0.028,0.03
"78",1,26,72,0,1,2016,13752,0.03,0.023
"79",1,27,72,0,0,2880,14472,0.028,0.028
"80",1,28,72,0,0,2592,3672,0.028,0.028
"81",1,29,72,0,0,2952,1512,0.028,0.03
"82",1,30,72,0,0,2952,2808,0.028,0.03
"83",1,31,72,0,0,2304,14112,0.03,0.03
"84",1,32,72,0,0,2664,216,0.028,0.03
"85",1,33,72,0,0,2376,3096,0.03,0.028
"86",1,34,72,0,0,1008,3024,0.039,0.028
"87",1,35,72,0,0,2232,8136,0.03,0.028
"88",1,36,72,0,1,936,17496,0.039,0.023
"89",1,37,72,1,0,19512,6264,0.025,0.03
"90",1,38,72,1,0,35208,648,0.021,0.03
"91",1,39,72,0,1,1944,36072,0.03,0.021
"92",1,40,72,0,0,2736,7560,0.028,0.03
"93",1,41,72,0,0,2952,14832,0.028,0.028
"94",1,42,72,0,1,2376,23328,0.03,0.023
"95",1,43,72,0,0,4104,216,0.028,0.039
"96",1,44,72,0,1,1800,49680,0.03,0.021
"97",1,45,72,0,1,2376,26136,0.028,0.021
"98",1,46,72,0,0,2376,5472,0.03,0.03
"99",1,47,72,0,0,3384,3168,0.028,0.03
"100",1,48,72,1,1,24408,39888,0.022,0.023
"101",1,49,72,0,1,2016,27216,0.03,0.023
"102",1,50,72,0,0,2448,4824,0.03,0.03
"103",1,51,72,0,1,2088,33408,0.028,0.023
"104",1,52,72,0,0,2592,3600,0.028,0.03
"105",2,1,72,1,0,29880,1080,0.022,0.03
"106",2,2,72,1,0,25920,432,0.022,0.03
"107",2,3,72,0,0,2664,1296,0.03,0.03
"108",2,4,72,0,1,1944,67536,0.03,0.021
"109",2,5,72,0,0,2520,6192,0.03,0.028
"110",2,6,72,0,0,2304,3888,0.03,0.03
"111",2,7,72,0,0,2808,6408,0.028,0.03
"112",2,8,72,0,0,2160,144,0.03,0.03
"113",2,9,72,1,0,35784,432,0.021,0.028
"114",2,10,72,0,0,3600,3744,0.028,0.03
"115",2,11,72,1,0,24984,792,0.022,0.03
"116",2,12,72,0,0,2088,13104,0.03,0.028
"117",2,13,72,1,1,17280,25056,0.023,0.021
"118",2,14,72,0,0,3096,432,0.028,0.03
"119",2,15,72,0,0,2304,2304,0.028,0.03
"120",2,16,72,1,1,26568,23328,0.021,0.021
"121",2,17,72,0,0,2664,11160,0.028,0.028
"122",2,18,72,1,0,28728,1224,0.022,0.028
"123",2,19,72,0,1,2160,31176,0.03,0.021
"124",2,20,72,0,0,2520,13176,0.03,0.03
"125",2,21,72,1,0,26064,360,0.022,0.028
"126",2,22,72,1,1,26352,14616,0.022,0.023
"127",2,23,72,0,0,2160,2880,0.03,0.03
"128",2,24,72,0,0,2016,2808,0.03,0.03
"129",2,25,72,0,0,3240,6768,0.028,0.039
"130",2,26,72,1,0,26784,1512,0.022,0.028
"131",2,27,72,1,1,25416,9216,0.021,0.023
"132",2,28,72,0,0,2160,2952,0.03,0.028
"133",2,29,72,0,0,2736,1152,0.028,0.03
"134",2,30,72,0,0,2664,5400,0.028,0.03
"135",2,31,72,0,0,2664,2304,0.03,0.03
"136",2,32,72,0,0,2304,6480,0.03,0.03
"137",2,33,72,1,0,15768,1872,0.025,0.028
"138",2,34,72,0,0,2592,4680,0.03,0.028
"139",2,35,72,1,0,23688,2376,0.022,0.03
"140",2,36,72,0,0,6984,12960,0.03,0.028
