county,district,grspan,enrltot,teachers,calwpct,mealpct,computer,compstu,expnstu,str,avginc,elpct,testscr
Alameda,Sunol Glen Unified,KK-08,195,10.89999962,0.510200024,2.040800095,67,0.343589753,,17.88990974,22.69000053,0,690.80
Butte,Manzanita Elementary,KK-08,240,11.14999962,15.41670036,47.91669846,101,0.420833319,5099.380859,21.52466393,9.824000359,4.583333492,661.20
Butte,Thermalito Union Elementary,KK-08,1550,82.90000153,55.03229904,76.32260132,169,0.109032258,5501.95459,18.69722557,8.977999687,30.00000191,643.60
Butte,Golden Feather Union Elementary,KK-08,243,14,36.47539902,77.04920197,85,0.349794239,7101.831055,17.3571434,8.977999687,0,647.70
Butte,Palermo Union Elementary,KK-08,1335,71.5,33.10860062,78.42700195,171,0.12808989,5235.987793,18.6713295,9.080332756,13.85767746,640.85
Fresno,Burrel Union Elementary,KK-08,137,6.400000095,12.31879997,86.95649719,25,0.182481751,5580.146973,21.40625,10.41499996,12.40875912,605.55
San Joaquin,Holt Union Elementary,KK-08,195,10,12.90320015,94.623703,28,0.14358975,5253.331055,19.5,6.577000141,68.71794891,606.75
Kern,Vineland Elementary,KK-08,888,42.5,18.80629921,100,66,0.074324325,4565.746094,20.89411736,8.173999786,46.95946121,609.00
Fresno,Orange Center Elementary,KK-08,379,19,32.18999863,93.13980103,35,0.092348285,5355.54834,19.94736862,7.385000229,30.07915688,612.50
Sacramento,Del Paso Heights Elementary,KK-06,2247,108,78.99420166,87.31639862,0,0,5036.211426,20.80555534,11.61333275,40.27592087,612.65
Merced,Le Grand Union Elementary,KK-08,446,21,18.60989952,85.87439728,86,0.192825109,4547.692383,21.23809433,8.930999756,52.91479874,615.75
Fresno,West Fresno Elementary,KK-08,987,47,71.71309662,98.60559845,56,0.056737587,5447.345215,21,7.385000229,54.60993195,616.30
Tulare,Allensworth Elementary,KK-08,103,5,22.42989922,98.13079834,25,0.242718443,6567.149414,20.60000038,5.335000038,42.71844482,616.30
Tulare,Sunnyside Union Elementary,KK-08,487,24.34000015,24.6093998,77.14839935,0,0,4818.612793,20.00821686,8.279000282,20.53388023,616.30
Tulare,Woodville Elementary,KK-08,649,36,14.63790035,76.27120209,31,0.047765795,5621.456055,18.02777863,9.630000114,80.1232605,616.45
Tulare,Pixley Union Elementary,KK-08,852,42.06999969,24.21419907,94.29570007,80,0.093896717,6026.359863,20.25196075,7.453999996,49.41314316,617.35
Kern,Lost Hills Union Elementary,KK-08,491,28.92000008,11.20160007,97.75969696,100,0.203665987,6723.237793,16.97786903,6.21600008,85.53971863,618.05
Kern,Buttonwillow Union Elementary,KK-08,421,25.5,8.551099777,77.90969849,50,0.118764848,5589.885254,16.50980377,7.763999939,58.90736389,618.30
Los Angeles,Lennox Elementary,KK-08,6880,303.0299988,21.28240013,94.97119904,960,0.139534891,5064.615723,22.70402336,7.021999836,77.0058136,619.80
Kern,Lamont Elementary,KK-08,2688,135,23.4375,93.22920227,139,0.05171131,5433.593262,19.91111183,5.698999882,49.81398773,620.30
Imperial,Westmorland Union Elementary,KK-08,440,24,34.77270126,100,69,0.156818181,5725.563477,18.33333397,7.940999985,40.68181992,620.50
Tulare,Pleasant View Elementary,KK-08,475,21,21.64949989,91.54640198,53,0.111578949,4542.10498,22.61904716,9.630000114,16.21052551,621.40
Kern,Wasco Union Elementary,KK-08,2538,130.5,18.91110039,70.8167038,169,0.066587865,5107.086426,19.44827652,7.40500021,45.07486343,621.75
Tulare,Alta Vista Elementary,KK-08,476,19,43.85589981,100,0,0,4659.661621,25.05263138,9.630000114,39.07563019,622.05
Merced,Livingston Union Elementary,KK-08,2357,114,16.8010006,90.623703,216,0.091641918,4555.464355,20.67543793,8.019000053,76.66525269,622.60
Tulare,Woodlake Union Elementary,KK-08,1588,85,22.40719986,85.14720154,198,0.124685138,5415.152832,18.68235207,8.522999763,40.49118423,623.10
Monterey,Alisal Union Elementary,KK-06,7306,319.7999878,17.00149918,88.03489685,742,0.101560362,4997.871582,22.84552956,7.983181477,73.7202301,623.20
Kern,Arvin Union Elementary,KK-08,2601,135,15.07110023,92.19529724,269,0.103421763,5223.912109,19.26666641,7.304999828,70.01153564,623.45
Tulare,Terra Bella Union Elementary,KK-08,847,44,16.2928009,90.20069885,67,0.079102717,5139.164551,19.25,8.934000015,55.96221542,623.60
Tulare,Tipton Elementary,KK-08,452,22,14.49890041,81.02349854,55,0.121681415,4614.251953,20.54545403,8.553999901,11.06194687,624.15
San Diego,San Ysidro Elementary,KK-08,4142,201,35.5625,81.50650024,569,0.137373254,5342.233398,20.60696602,6.612999916,80.42008972,624.55
Monterey,Soledad Unified,KK-08,2102,99.75,15.31989956,90.28489685,224,0.106565177,5347.458496,21.07268143,12.4090004,63.13035583,624.95
Los Angeles,Mountain View Elementary,KK-08,10012,464.8999939,29.76390076,91.59339905,721,0.072013587,5036.458984,21.53581429,8.126615524,65.12185669,625.30
Monterey,King City Union Elementary,KK-08,2488,125,12.69200039,55.0929985,202,0.081189707,5117.141602,19.90399933,11.43099976,53.41640091,625.85
San Bernardino,Ontario-Montclair Elementary,KK-08,25151,1186.699951,17.44260025,80.19560242,1713,0.068108626,5117.039551,21.19406891,11.72222519,49.82307053,626.10
Los Angeles,Los Nietos Elementary,KK-08,2267,103.6800003,19.15169907,84.43379974,177,0.07807675,5272.191895,21.86535454,11.33250046,35.46537018,626.80
Merced,Winton Elementary,KK-08,1657,90.40000153,28.84729958,84.73139954,204,0.123114064,5225.719238,18.32964516,9.597999573,56.12552643,626.90
Fresno,Raisin City Elementary,KK-08,284,17.5,14.52700043,94.93240356,18,0.063380279,6516.533203,16.22857094,14.55799961,32.39436722,627.10
San Mateo,Ravenswood City Elementary,KK-08,5370,280,19.57169914,81.11730194,562,0.104655497,4559.176758,19.1785717,22.05999947,65.51210022,627.25
Kern,Richland-Lerdo Union Elementary,KK-08,2471,121.8600006,23.79599953,87.77819824,275,0.111290976,5119.158203,20.27736664,9.708999634,53.05544281,627.30
Ventura,Oxnard Elementary,KK-08,15386,669.3599854,12.50640011,71.43309784,1762,0.114519693,5338.185547,22.98613739,11.48294449,49.64253235,628.25
Merced,El Nido Elementary,KK-08,184,9,22.2826004,85.86959839,40,0.217391297,5090.044922,20.44444466,8.17800045,45.10869598,628.40
Kern,Fairfax Elementary,KK-08,1217,61.40000153,33.90800095,88.09519958,78,0.064092033,5485.496094,19.82084656,8.173999786,30.32045937,628.55
Kern,Delano Union Elementary,KK-08,6219,268,21.49860001,100,571,0.091815405,4793.370117,23.20522308,7.5,52.24312592,628.65
Riverside,Perris Elementary,KK-06,4258,221,24.65950012,92.74310303,324,0.076092064,5092.91748,19.26696777,10.05049992,36.80131531,628.75
Los Angeles,Valle Lindo Elementary,KK-08,1235,53,8.218299866,62.13019943,175,0.141700402,4359.520996,23.30188751,7.331999779,30.28339958,629.80
Santa Clara,Alum Rock Union Elementary,KK-08,16244,766.6500244,17.4531002,69.73989868,1423,0.087601572,5645.495605,21.18828583,12.5815773,49.8645668,630.35
