Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
1,New england,None,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot a,87.9,Average,White,Male,50,Someone else,Married,3,47,16,18,13,16,$170000 or over
2,New england,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,38.3,Average,White,Male,42,Someone else,Never married,0,61,12,8,12,Not applicable,$50000 to 59999
3,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,52.1,Far below average,White,Male,Not applicable,Someone else,Married,2,72,16,12,8,12,$75000 to $89999
4,New england,Catholic,Part-time,Not applicable,5265,Not hispanic,White,Ballot a,21.8,Below average,White,Female,30,Someone else,Married,4,43,12,Not applicable,12,12,$170000 or over
5,New england,None,Part-time,Heterosexual or straight,936,Not hispanic,White,Ballot c,39.7,Above average,White,Female,5,Someone else,Married,2,55,18,16,12,16,$170000 or over
6,New england,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,44.6,Above average,White,Female,Not applicable,Someone else,Married,2,53,14,11,12,12,$60000 to 74999
7,New england,None,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot a,80.7,Average,White,Male,55,Someone else,Married,2,50,14,12,12,12,$170000 or over
8,Middle atlantic,Catholic,Part-time,Heterosexual or straight,7605,"Mexican, mexican american, chicano/a","Other, mixed",Ballot c,20.1,Below average,Other,Female,30,Someone else,Married,3,23,11,5,5,8,$30000 to 34999
9,Middle atlantic,Protestant,Full-time,Not applicable,9945,Not hispanic,"Other, mixed",Ballot a,20.1,Below average,Black,Male,80,Someone else,Married,3,45,12,8,8,9,$60000 to 74999
10,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,32,Average,White,Male,Not applicable,Someone else,Divorced,4,71,14,14,15,Not applicable,$60000 to 74999
11,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,24.2,Below average,Black,Female,Not applicable,Someone else,Never married,5,33,12,12,13,Not applicable,Under $1 000
12,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,"Other, mixed",Ballot a,13.2,Far below average,White,Female,Not applicable,Someone else,Widowed,4,86,12,12,Don't know,Not applicable,Under $1 000
13,Middle atlantic,Catholic,Full-time,Heterosexual or straight,2106,Not hispanic,Black,Ballot b,20.8,Below average,Black,Male,39,Someone else,Married,3,32,12,Not applicable,Don't know,12,$8 000 to 9 999
14,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot c,24.2,Below average,Black,Female,Not applicable,Someone else,Married,5,60,Don't know,Don't know,Don't know,12,$12500 to 14999
15,New england,Catholic,Full-time,Heterosexual or straight,11115,Not hispanic,White,Ballot b,67.7,Below average,White,Male,Not applicable,Someone else,Divorced,7,76,10,Don't know,Don't know,Not applicable,$40000 to 49999
16,New england,Other,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot c,61.4,Far below average,White,Female,42,Someone else,Never married,2,33,13,12,Not applicable,Not applicable,$50000 to 59999
17,New england,Protestant,Full-time,Dont know,9945,Puerto rican,"Other, mixed",Ballot c,23.3,Below average,White,Male,Not applicable,Someone else,Married,6,56,13,5,8,16,$50000 to 59999
18,New england,Protestant,Not applicable,Not applicable,0,Puerto rican,"Other, mixed",Ballot b,25.7,Below average,Other,Female,Not applicable,Someone else,Widowed,5,62,10,Not applicable,Don't know,Not applicable,$5 000 to 5 999
19,New england,None,Full-time,Heterosexual or straight,17550,Not hispanic,Black,Ballot b,80.9,Average,Black,Male,40,Someone else,Never married,0,31,18,12,14,Not applicable,$35000 to 39999
20,New england,Protestant,Full-time,Not applicable,12870,Not hispanic,Black,Ballot a,39.2,Average,Black,Male,40,Someone else,Divorced,2,43,13,16,16,Not applicable,$25000 to 29999
21,New england,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,24.2,Average,White,Female,40,Someone else,Never married,0,58,12,12,12,Not applicable,$90000 to $109999
22,Middle atlantic,None,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot c,33.3,Average,Black,Female,Not applicable,Someone else,Never married,3,32,11,12,12,Not applicable,$40000 to 49999
23,Middle atlantic,None,Part-time,Heterosexual or straight,2106,Salvadorian,White,Ballot b,21.6,Average,Other,Female,15,Someone else,Never married,2,23,10,Not applicable,8,Not applicable,$22500 to 24999
24,Middle atlantic,Catholic,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,66.2,Average,White,Female,Not applicable,Someone else,Married,2,37,12,10,10,12,$60000 to 74999
25,Middle atlantic,Catholic,Full-time,Heterosexual or straight,8775,Honduran,White,Ballot c,14.8,Average,White,Female,50,Someone else,Divorced,2,25,15,14,Not applicable,Not applicable,$20000 to 22499
26,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Puerto rican,"Other, mixed",Ballot b,25.1,Average,White,Female,Not applicable,Someone else,Separated,Eight or more,76,3,Don't know,Not applicable,Not applicable,$5 000 to 5 999
27,Middle atlantic,Jewish,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,82.5,Below average,White,Male,Not applicable,Someone else,Married,2,71,19,Don't know,12,12,Refused
28,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,39.9,Average,Black,Male,4,Someone else,Never married,0,22,14,12,12,Not applicable,Don't know
29,Middle atlantic,Jewish,Not applicable,Not applicable,31590,Not hispanic,White,Ballot b,82.5,Above average,White,Male,Not applicable,Someone else,Widowed,2,74,18,17,12,Not applicable,$110000 to $129999
30,Middle atlantic,Orthodox-christian,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,37.6,Average,White,Female,Not applicable,Someone else,Divorced,3,75,12,12,Not applicable,Not applicable,$30000 to 34999
31,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,20.7,Below average,White,Male,Not applicable,Someone else,Never married,0,32,12,12,12,Not applicable,$35000 to 39999
32,Middle atlantic,Catholic,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,46.7,Average,White,Female,50,Someone else,Married,2,68,12,12,12,12,$60000 to 74999
33,Middle atlantic,None,Full-time,Not applicable,56160,Not hispanic,"Other, mixed",Ballot a,65.3,Below average,White,Male,40,Someone else,Married,3,55,12,Not applicable,12,12,$150000 to $169999
34,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot c,65.3,Below average,Black,Male,Not applicable,Someone else,Married,1,46,14,12,16,12,$75000 to $89999
35,Middle atlantic,Catholic,Part-time,Not applicable,0,Not hispanic,White,Ballot a,80.9,Far above average,White,Female,Not applicable,Someone else,Separated,2,58,12,12,12,Not applicable,$40000 to 49999
36,Middle atlantic,None,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot b,52.5,Average,White,Male,40,Someone else,Never married,0,35,12,Not applicable,12,Not applicable,$90000 to $109999
37,Middle atlantic,Catholic,Full-time,Heterosexual or straight,8775,Not hispanic,"Other, mixed",Ballot b,26.1,Average,White,Male,25,Someone else,Married,2,59,16,12,12,16,$75000 to $89999
