id,region,religion,full.time,sexual.orientation,income,hispanic,race.household,ballot,SES,childhood.income,race,sex,hours.worked.last.week,self.employed,marital.status,num.kids,age,education,education.pa,education.ma,education.spouse,family.income,hispanic.yn
1,New england,None,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot a,87.9,Average,White,Male,50,Someone else,Married,3,47,16,18,13,16,$170000 or over,Yes
2,New england,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot b,38.3,Average,White,Male,42,Someone else,Never married,0,61,12,8,12,Not applicable,$50000 to 59999,Yes
4,New england,Catholic,Part-time,Not applicable,5265,Not hispanic,White,Ballot a,21.8,Below average,White,Female,30,Someone else,Married,4,43,12,Not applicable,12,12,$170000 or over,Yes
5,New england,None,Part-time,Heterosexual or straight,936,Not hispanic,White,Ballot c,39.7,Above average,White,Female,5,Someone else,Married,2,55,18,16,12,16,$170000 or over,Yes
6,New england,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,44.6,Above average,White,Female,NA,Someone else,Married,2,53,14,11,12,12,$60000 to 74999,Yes
7,New england,None,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot a,80.7,Average,White,Male,55,Someone else,Married,2,50,14,12,12,12,$170000 or over,Yes
9,Middle atlantic,Protestant,Full-time,Not applicable,9945,Not hispanic,"Other, mixed",Ballot a,20.1,Below average,Black,Male,80,Someone else,Married,3,45,12,8,8,9,$60000 to 74999,Yes
11,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,24.2,Below average,Black,Female,NA,Someone else,Never married,5,33,12,12,13,Not applicable,Under $1 000,Yes
13,Middle atlantic,Catholic,Full-time,Heterosexual or straight,2106,Not hispanic,Black,Ballot b,20.8,Below average,Black,Male,39,Someone else,Married,3,32,12,Not applicable,NA,12,$8 000 to 9 999,Yes
14,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,Black,Ballot c,24.2,Below average,Black,Female,NA,Someone else,Married,5,60,NA,NA,NA,12,$12500 to 14999,Yes
16,New england,Other,Full-time,Heterosexual or straight,12870,Not hispanic,White,Ballot c,61.4,Far below average,White,Female,42,Someone else,Never married,2,33,13,12,Not applicable,Not applicable,$50000 to 59999,Yes
17,New england,Protestant,Full-time,Dont know,9945,Puerto rican,"Other, mixed",Ballot c,23.3,Below average,White,Male,NA,Someone else,Married,6,56,13,5,8,16,$50000 to 59999,No
18,New england,Protestant,Not applicable,Not applicable,0,Puerto rican,"Other, mixed",Ballot b,25.7,Below average,Other,Female,NA,Someone else,Widowed,5,62,10,Not applicable,NA,Not applicable,$5 000 to 5 999,No
19,New england,None,Full-time,Heterosexual or straight,17550,Not hispanic,Black,Ballot b,80.9,Average,Black,Male,40,Someone else,Never married,0,31,18,12,14,Not applicable,$35000 to 39999,Yes
20,New england,Protestant,Full-time,Not applicable,12870,Not hispanic,Black,Ballot a,39.2,Average,Black,Male,40,Someone else,Divorced,2,43,13,16,16,Not applicable,$25000 to 29999,Yes
21,New england,Catholic,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,24.2,Average,White,Female,40,Someone else,Never married,0,58,12,12,12,Not applicable,$90000 to $109999,Yes
22,Middle atlantic,None,Full-time,Heterosexual or straight,0,Not hispanic,Black,Ballot c,33.3,Average,Black,Female,NA,Someone else,Never married,3,32,11,12,12,Not applicable,$40000 to 49999,Yes
