Year,Month,R_10Y
1981,January,14.59
1981,February,14.43
1981,March,13.86
1981,April,13.87
1981,May,13.62
1981,June,14.3
1981,July,13.95
1981,August,13.06
1981,September,12.34
1981,October,10.91
1981,November,10.55
1981,December,10.54
1982,January,10.46
1982,February,10.72
1982,March,10.51
1982,April,10.4
1982,May,10.38
1982,June,10.85
1982,July,11.38
1982,August,11.85
1982,September,11.65
1982,October,11.54
1982,November,11.69
1982,December,11.83
1983,January,11.67
1983,February,11.84
1983,March,12.32
1983,April,12.63
1983,May,13.41
1983,June,13.56
1983,July,13.36
1983,August,12.72
1983,September,12.52
1983,October,12.16
1983,November,11.57
1983,December,11.5
1984,January,11.38
1984,February,11.51
1984,March,11.86
1984,April,11.43
1984,May,10.85
1984,June,10.16
1984,July,10.31
1984,August,10.33
1984,September,10.37
1984,October,10.24
1984,November,9.78
1984,December,9.26
1985,January,9.19
1985,February,8.7
1985,March,7.78
1985,April,7.3
1985,May,7.71
1985,June,7.8
1985,July,7.3
1985,August,7.17
1985,September,7.45
1985,October,7.43
1985,November,7.25
1985,December,7.11
1986,January,7.08
1986,February,7.25
1986,March,7.25
1986,April,8.02
1986,May,8.61
1986,June,8.4
1986,July,8.45
1986,August,8.76
1986,September,9.42
1986,October,9.52
1986,November,8.86
1986,December,8.99
1987,January,8.67
1987,February,8.21
1987,March,8.37
1987,April,8.72
1987,May,9.09
1987,June,8.92
1987,July,9.06
1987,August,9.26
1987,September,8.98
1987,October,8.8
1987,November,8.96
1987,December,9.11
1988,January,9.09
1988,February,9.17
1988,March,9.36
1988,April,9.18
1988,May,8.86
1988,June,8.28
1988,July,8.02
1988,August,8.11
1988,September,8.19
1988,October,8.01
1988,November,7.87
1988,December,7.84
1989,January,8.21
1989,February,8.47
1989,March,8.59
1989,April,8.79
1989,May,8.76
1989,June,8.48
1989,July,8.47
1989,August,8.75
1989,September,8.89
1989,October,8.72
1989,November,8.39
1989,December,8.08
1990,January,8.09
1990,February,7.85
1990,March,8.11
1990,April,8.04
1990,May,8.07
1990,June,8.28
1990,July,8.27
1990,August,7.9
1990,September,7.65
1990,October,7.53
1990,November,7.42
1990,December,7.09
1991,January,7.03
1991,February,7.34
1991,March,7.54
1991,April,7.48
1991,May,7.39
1991,June,7.26
1991,July,6.84
1991,August,6.59
1991,September,6.42
1991,October,6.59
1991,November,6.87
1991,December,6.77
1992,January,6.6
1992,February,6.26
1992,March,5.98
1992,April,5.97
1992,May,6.04
1992,June,5.96
1992,July,5.81
1992,August,5.68
1992,September,5.36
1992,October,5.33
1992,November,5.72
1992,December,5.77
1993,January,5.75
1993,February,5.97
1993,March,6.48
1993,April,6.97
1993,May,7.18
1993,June,7.1
1993,July,7.3
1993,August,7.24
1993,September,7.46
1993,October,7.74
1993,November,7.96
1993,December,7.81
1994,January,7.78
1994,February,7.47
1994,March,7.2
1994,April,7.06
1994,May,6.63
1994,June,6.17
1994,July,6.28
1994,August,6.49
1994,September,6.2
1994,October,6.04
1994,November,5.93
1994,December,5.71
1995,January,5.65
1995,February,5.81
1995,March,6.27
1995,April,6.51
1995,May,6.74
1995,June,6.91
1995,July,6.87
1995,August,6.64
1995,September,6.83
1995,October,6.53
1995,November,6.2
1995,December,6.3
1996,January,6.58
1996,February,6.42
1996,March,6.69
1996,April,6.89
1996,May,6.71
1996,June,6.49
1996,July,6.22
1996,August,6.3
1996,September,6.21
1996,October,6.03
1996,November,5.88
1996,December,5.81
1997,January,5.54
1997,February,5.57
1997,March,5.65
1997,April,5.64
1997,May,5.65
1997,June,5.5
1997,July,5.46
1997,August,5.34
1997,September,4.81
1997,October,4.53
1997,November,4.83
1997,December,4.65
1998,January,4.72
1998,February,5
1998,March,5.23
1998,April,5.18
1998,May,5.54
1998,June,5.9
1998,July,5.79
1998,August,5.94
1998,September,5.92
1998,October,6.11
1998,November,6.03
1998,December,6.28
1999,January,6.66
1999,February,6.52
1999,March,6.26
1999,April,5.99
1999,May,6.44
1999,June,6.1
1999,July,6.05
1999,August,5.83
1999,September,5.8
1999,October,5.74
1999,November,5.72
1999,December,5.24
2000,January,5.16
2000,February,5.1
2000,March,4.89
2000,April,5.14
2000,May,5.39
2000,June,5.28
2000,July,5.24
2000,August,4.97
2000,September,4.73
2000,October,4.57
2000,November,4.65
2000,December,5.09
2001,January,5.04
2001,February,4.91
2001,March,5.28
2001,April,5.21
2001,May,5.16
2001,June,4.93
2001,July,4.65
2001,August,4.26
2001,September,3.87
2001,October,3.94
2001,November,4.05
2001,December,4.03
2002,January,4.05
2002,February,3.9
2002,March,3.81
2002,April,3.96
2002,May,3.57
2002,June,3.33
2002,July,3.98
2002,August,4.45
2002,September,4.27
2002,October,4.29
2002,November,4.3
2002,December,4.27
2003,January,4.15
2003,February,4.08
2003,March,3.83
2003,April,4.35
2003,May,4.72
2003,June,4.73
2003,July,4.5
2003,August,4.28
2003,September,4.13
2003,October,4.1
2003,November,4.19
2003,December,4.23
2004,January,4.22
2004,February,4.17
2004,March,4.5
2004,April,4.34
2004,May,4.14
2004,June,4
2004,July,4.18
2004,August,4.26
2004,September,4.2
2004,October,4.46
2004,November,4.54
2004,December,4.47
2005,January,4.42
2005,February,4.57
2005,March,4.72
2005,April,4.99
2005,May,5.11
2005,June,5.11
2005,July,5.09
2005,August,4.88
2005,September,4.72
2005,October,4.73
2005,November,4.6
2005,December,4.56
2006,January,4.76
2006,February,4.72
2006,March,4.56
2006,April,4.69
2006,May,4.75
2006,June,5.1
2006,July,5
2006,August,4.67
2006,September,4.52
2006,October,4.53
2006,November,4.15
2006,December,4.1
2007,January,3.74
2007,February,3.74
2007,March,3.51
2007,April,3.68
2007,May,3.88
2007,June,4.1
2007,July,4.01
2007,August,3.89
2007,September,3.69
2007,October,3.81
2007,November,3.53
2007,December,2.42
2008,January,2.52
2008,February,2.87
2008,March,2.82
2008,April,2.93
2008,May,3.29
2008,June,3.72
2008,July,3.56
2008,August,3.59
2008,September,3.4
2008,October,3.39
2008,November,3.4
2008,December,3.59
2009,January,3.73
2009,February,3.69
2009,March,3.73
2009,April,3.85
2009,May,3.42
2009,June,3.2
2009,July,3.01
2009,August,2.7
